변환,원자료
2010-09-02,"5,552,200,000,000"
2010-09-03,"5,948,200,000,000"
2010-09-06,"5,346,100,000,000"
2010-09-07,"4,724,200,000,000"
2010-09-08,"4,898,200,000,000"
2010-09-09,"5,964,900,000,000"
2010-09-10,"5,485,400,000,000"
2010-09-13,"6,493,500,000,000"
2010-09-14,"6,700,900,000,000"
2010-09-15,"6,511,400,000,000"
2010-09-16,"5,655,600,000,000"
2010-09-17,"6,341,300,000,000"
2010-09-20,"4,050,900,000,000"
2010-09-24,"5,497,400,000,000"
2010-09-27,"6,866,400,000,000"
2010-09-28,"6,266,700,000,000"
2010-09-29,"7,052,900,000,000"
2010-09-30,"6,181,200,000,000"
2010-10-01,"6,575,700,000,000"
2010-10-04,"6,928,500,000,000"
2010-10-05,"6,415,900,000,000"
2010-10-06,"7,309,800,000,000"
2010-10-07,"7,385,800,000,000"
2010-10-08,"6,205,300,000,000"
2010-10-11,"5,928,700,000,000"
2010-10-12,"5,753,900,000,000"
2010-10-13,"5,898,400,000,000"
2010-10-14,"7,328,400,000,000"
2010-10-15,"5,943,200,000,000"
2010-10-18,"5,576,000,000,000"
2010-10-19,"5,538,100,000,000"
2010-10-20,"5,812,800,000,000"
2010-10-21,"6,364,500,000,000"
2010-10-22,"5,799,400,000,000"
2010-10-25,"6,462,900,000,000"
2010-10-26,"6,368,400,000,000"
2010-10-27,"6,679,900,000,000"
2010-10-28,"5,393,300,000,000"
2010-10-29,"5,947,500,000,000"
2010-11-01,"5,937,000,000,000"
2010-11-02,"6,359,300,000,000"
2010-11-03,"6,815,500,000,000"
2010-11-04,"6,400,000,000,000"
2010-11-05,"7,815,300,000,000"
2010-11-08,"5,381,100,000,000"
2010-11-09,"5,404,000,000,000"
2010-11-10,"6,225,600,000,000"
2010-11-11,"9,324,600,000,000"
2010-11-12,"8,408,700,000,000"
2010-11-15,"5,993,300,000,000"
2010-11-16,"6,918,100,000,000"
2010-11-17,"5,716,000,000,000"
2010-11-18,"5,219,500,000,000"
2010-11-19,"5,969,900,000,000"
2010-11-22,"7,305,500,000,000"
2010-11-23,"6,920,400,000,000"
2010-11-24,"7,965,200,000,000"
2010-11-25,"5,610,700,000,000"
2010-11-26,"5,728,400,000,000"
2010-11-29,"4,503,600,000,000"
2010-11-30,"5,950,900,000,000"
2010-12-01,"4,878,700,000,000"
2010-12-02,"5,787,000,000,000"
2010-12-03,"6,560,000,000,000"
2010-12-06,"5,403,500,000,000"
2010-12-07,"6,159,700,000,000"
2010-12-08,"5,412,700,000,000"
2010-12-09,"6,770,500,000,000"
2010-12-10,"5,236,600,000,000"
2010-12-13,"5,055,500,000,000"
2010-12-14,"6,338,000,000,000"
2010-12-15,"6,486,700,000,000"
2010-12-16,"5,324,000,000,000"
2010-12-17,"6,802,700,000,000"
2010-12-20,"7,045,800,000,000"
2010-12-21,"7,226,100,000,000"
2010-12-22,"6,023,100,000,000"
2010-12-23,"5,101,200,000,000"
2010-12-24,"4,714,300,000,000"
2010-12-27,"5,074,200,000,000"
2010-12-28,"5,625,800,000,000"
2010-12-29,"4,967,800,000,000"
2010-12-30,"5,246,100,000,000"
2010-12-31,
2011-01-03,"5,780,500,000,000"
2011-01-04,"7,653,000,000,000"
2011-01-05,"8,451,400,000,000"
2011-01-06,"8,650,700,000,000"
2011-01-07,"7,575,300,000,000"
2011-01-10,"7,194,100,000,000"
2011-01-11,"6,896,800,000,000"
2011-01-12,"7,740,700,000,000"
2011-01-13,"9,185,900,000,000"
2011-01-14,"8,376,900,000,000"
2011-01-17,"7,996,300,000,000"
2011-01-18,"7,889,400,000,000"
2011-01-19,"8,553,400,000,000"
2011-01-20,"6,433,900,000,000"
2011-01-21,"7,367,900,000,000"
2011-01-24,"6,014,500,000,000"
2011-01-25,"7,244,800,000,000"
2011-01-26,"6,093,800,000,000"
2011-01-27,"7,217,400,000,000"
2011-01-28,"7,712,900,000,000"
2011-01-31,"7,294,400,000,000"
2011-02-01,"6,124,900,000,000"
2011-02-07,"6,532,100,000,000"
2011-02-08,"7,169,000,000,000"
2011-02-09,"6,654,500,000,000"
2011-02-10,"7,067,600,000,000"
2011-02-11,"6,945,700,000,000"
2011-02-14,"5,723,500,000,000"
2011-02-15,"5,780,700,000,000"
2011-02-16,"5,629,000,000,000"
2011-02-17,"6,814,800,000,000"
2011-02-18,"5,821,500,000,000"
2011-02-21,"5,878,300,000,000"
2011-02-22,"6,230,600,000,000"
2011-02-23,"5,744,800,000,000"
2011-02-24,"5,442,700,000,000"
2011-02-25,"4,935,400,000,000"
2011-02-28,"4,584,600,000,000"
2011-03-02,"4,618,900,000,000"
2011-03-03,"5,129,000,000,000"
2011-03-04,"6,045,000,000,000"
2011-03-07,"4,675,300,000,000"
2011-03-08,"5,411,800,000,000"
2011-03-09,"6,511,800,000,000"
2011-03-10,"7,166,400,000,000"
2011-03-11,"5,347,100,000,000"
2011-03-14,"9,464,500,000,000"
2011-03-15,"9,755,600,000,000"
2011-03-16,"6,951,300,000,000"
2011-03-17,"6,846,800,000,000"
2011-03-18,"6,794,200,000,000"
2011-03-21,"5,609,300,000,000"
2011-03-22,"7,409,700,000,000"
2011-03-23,"7,506,400,000,000"
2011-03-24,"6,558,800,000,000"
2011-03-25,"7,028,800,000,000"
2011-03-28,"6,376,700,000,000"
2011-03-29,"6,230,400,000,000"
2011-03-30,"8,242,800,000,000"
2011-03-31,"8,274,600,000,000"
2011-04-01,"7,118,500,000,000"
2011-04-04,"7,965,400,000,000"
2011-04-05,"6,631,700,000,000"
2011-04-06,"8,839,300,000,000"
2011-04-07,"7,216,100,000,000"
2011-04-08,"8,718,200,000,000"
2011-04-11,"7,303,600,000,000"
2011-04-12,"6,902,000,000,000"
2011-04-13,"6,831,700,000,000"
2011-04-14,"9,382,900,000,000"
2011-04-15,"8,126,600,000,000"
2011-04-18,"9,455,300,000,000"
2011-04-19,"8,877,700,000,000"
2011-04-20,"10,098,800,000,000"
2011-04-21,"12,260,100,000,000"
2011-04-22,"9,791,300,000,000"
2011-04-25,"8,041,800,000,000"
2011-04-26,"11,356,800,000,000"
2011-04-27,"13,134,400,000,000"
2011-04-28,"10,391,700,000,000"
2011-04-29,"11,256,800,000,000"
2011-05-02,"8,315,800,000,000"
2011-05-03,"8,442,300,000,000"
2011-05-04,"8,259,700,000,000"
2011-05-06,"8,475,200,000,000"
2011-05-09,"5,768,900,000,000"
2011-05-11,"7,038,600,000,000"
2011-05-12,"7,473,700,000,000"
2011-05-13,"8,539,300,000,000"
2011-05-16,"6,154,300,000,000"
2011-05-17,"5,736,300,000,000"
2011-05-18,"7,102,500,000,000"
2011-05-19,"7,779,600,000,000"
2011-05-20,"6,096,900,000,000"
2011-05-23,"6,239,200,000,000"
2011-05-24,"6,012,100,000,000"
2011-05-25,"6,846,700,000,000"
2011-05-26,"7,118,000,000,000"
2011-05-27,"7,004,500,000,000"
2011-05-30,"5,657,500,000,000"
2011-05-31,"9,142,000,000,000"
2011-06-01,"8,019,400,000,000"
2011-06-02,"7,190,500,000,000"
2011-06-03,"6,748,400,000,000"
2011-06-07,"6,092,800,000,000"
2011-06-08,"6,515,900,000,000"
2011-06-09,"7,239,000,000,000"
2011-06-10,"7,068,600,000,000"
2011-06-13,"5,509,600,000,000"
2011-06-14,"6,118,900,000,000"
2011-06-15,"5,978,400,000,000"
2011-06-16,"5,759,200,000,000"
2011-06-17,"8,014,400,000,000"
2011-06-20,"6,312,400,000,000"
2011-06-21,"6,742,500,000,000"
2011-06-22,"6,259,100,000,000"
2011-06-23,"5,341,900,000,000"
2011-06-24,"8,032,700,000,000"
2011-06-27,"4,886,200,000,000"
2011-06-28,"5,754,000,000,000"
2011-06-29,"5,847,700,000,000"
2011-06-30,"6,356,200,000,000"
2011-07-01,"6,741,500,000,000"
2011-07-04,"6,677,500,000,000"
2011-07-05,"6,307,400,000,000"
2011-07-06,"7,148,100,000,000"
2011-07-07,"8,116,900,000,000"
2011-07-08,"7,145,200,000,000"
2011-07-11,"5,509,200,000,000"
2011-07-12,"6,083,300,000,000"
2011-07-13,"6,404,900,000,000"
2011-07-14,"7,456,400,000,000"
2011-07-15,"6,010,400,000,000"
2011-07-18,"5,997,300,000,000"
2011-07-19,"6,047,800,000,000"
2011-07-20,"8,238,800,000,000"
2011-07-21,"7,239,500,000,000"
2011-07-22,"7,227,700,000,000"
2011-07-25,"5,813,300,000,000"
2011-07-26,"6,475,100,000,000"
2011-07-27,"6,231,900,000,000"
2011-07-28,"5,769,900,000,000"
2011-07-29,"5,938,300,000,000"
2011-08-01,"6,317,700,000,000"
2011-08-02,"7,619,800,000,000"
2011-08-03,"7,952,500,000,000"
2011-08-04,"7,536,500,000,000"
2011-08-05,"10,290,700,000,000"
2011-08-08,"10,682,200,000,000"
2011-08-09,"13,336,400,000,000"
2011-08-10,"11,076,300,000,000"
