변환,USD,주식
2010-10-12,1124,5753900000000
2010-10-13,1122,5898400000000
2010-10-14,1116,7328400000000
2010-10-15,1113,5943200000000
2010-10-18,1113.5,5576000000000
2010-10-19,1116,5538100000000
2010-10-20,1140,5812800000000
2010-10-21,1121.1,6364500000000
2010-10-22,1132.5,5799400000000
2010-10-25,1121.7,6462900000000
2010-10-26,1118,6368400000000
2010-10-27,1122,6679900000000
2010-10-28,1131,5393300000000
2010-10-29,1119.5,5947500000000
2010-11-01,1122,5937000000000
2010-11-02,1119,6359300000000
2010-11-03,1111.5,6815500000000
2010-11-04,1105,6400000000000
2010-11-05,1104.5,7815300000000
2010-11-08,1108.5,5381100000000
2010-11-09,1116.5,5404000000000
2010-11-10,1116.7,6225600000000
2010-11-11,1110,9324600000000
2010-11-12,1112,8408700000000
2010-11-15,1130,5993300000000
2010-11-16,1134,6918100000000
2010-11-17,1138.5,5716000000000
2010-11-18,1140,5219500000000
2010-11-19,1130.5,5969900000000
2010-11-22,1131,7305500000000
2010-11-23,1131,6920400000000
2010-11-24,1175,7965200000000
2010-11-25,1145,5610700000000
2010-11-26,1140,5728400000000
2010-11-29,1163,4503600000000
2010-11-30,1161,5950900000000
2010-12-01,1155,4878700000000
2010-12-02,1145,5787000000000
2010-12-03,1144,6560000000000
2010-12-06,1137,5403500000000
2010-12-07,1137,6159700000000
2010-12-08,1138,5412700000000
2010-12-09,1140,6770500000000
2010-12-10,1138,5236600000000
2010-12-13,1141.9,5055500000000
2010-12-14,1141,6338000000000
2010-12-15,1143,6486700000000
2010-12-16,1163,5324000000000
2010-12-17,1154.9,6802700000000
2010-12-20,1165,7045800000000
2010-12-21,1156.5,7226100000000
2010-12-22,1158,6023100000000
2010-12-23,1152.8,5101200000000
2010-12-24,1153,4714300000000
2010-12-27,1153,5074200000000
2010-12-28,1149,5625800000000
2010-12-29,1147.5,4967800000000
2010-12-30,1142,5246100000000
2011-01-03,1128,5780500000000
2011-01-04,1124,7653000000000
2011-01-05,1124,8451400000000
2011-01-06,1124,8650700000000
2011-01-07,1123.5,7575300000000
2011-01-10,1122,7194100000000
2011-01-11,1125.9,6896800000000
2011-01-12,1123,7740700000000
2011-01-13,1109,9185900000000
2011-01-14,1111,8376900000000
2011-01-17,1114,7996300000000
2011-01-18,1115,7889400000000
2011-01-19,1112.5,8553400000000
2011-01-20,1115,6433900000000
2011-01-21,1123,7367900000000
2011-01-24,1120,6014500000000
2011-01-25,1119.5,7244800000000
2011-01-26,1119.5,6093800000000
2011-01-27,1117,7217400000000
2011-01-28,1113,7712900000000
2011-01-31,1123,7294400000000
2011-02-01,1120,6124900000000
2011-02-07,1107,6532100000000
2011-02-08,1104,7169000000000
2011-02-09,1104,6654500000000
2011-02-10,1111,7067600000000
2011-02-11,1120,6945700000000
